Notes	ManualCheck	MergeInto	RenameKeyGroup	KeyParamGroup	KeyGroup	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	FlipAngle	HasFieldmap	ImageOrientation	KeyGroupCount	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				acquisition-HCP_datatype-anat_suffix-T1w__1	acquisition-HCP_datatype-anat_suffix-T1w	1	1219	224	320	320	0.00315		8	False	LAS+	1219	anat		0	1.0	False	2.0	1.0		2.5		False	0.7999983429908752	0.800000011920929	0.800000011920929
				acquisition-VNavNorm_datatype-anat_suffix-T1w__1	acquisition-VNavNorm_datatype-anat_suffix-T1w	1	999	176	256	256	0.00288		8	False	LAS+	999	anat		0	1.0	False	2.0	1.0		2.5		False	1.0	1.0	1.0
				acquisition-HCP_datatype-anat_suffix-T2w__1	acquisition-HCP_datatype-anat_suffix-T2w	1	468	224	320	320	0.564		120	False	LAS+	957	anat		0	1.0	False	2.0	1.0		3.2		False	0.8000010848045349	0.800000011920929	0.800000011920929
			acquisition-HCPVARIANTEchoTimeVoxelSizeDim1_datatype-anat_suffix-T2w	acquisition-HCP_datatype-anat_suffix-T2w__2	acquisition-HCP_datatype-anat_suffix-T2w	2	445	224	320	320	0.565		120	False	LAS+	957	anat		0	1.0	False	2.0	1.0		3.2		False	0.7999983429908752	0.800000011920929	0.800000011920929
			acquisition-HCPVARIANTDim1SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T2w	acquisition-HCP_datatype-anat_suffix-T2w__3	acquisition-HCP_datatype-anat_suffix-T2w	3	44	256	320	320	0.564		120	False	LAS+	957	anat		0	1.0	False	2.0	1.0		3.2		False	0.7000002861022949	0.699999988079071	0.699999988079071
				acquisition-VNavNorm_datatype-anat_suffix-T2w__1	acquisition-VNavNorm_datatype-anat_suffix-T2w	1	910	176	256	256	0.565		120	False	LAS+	912	anat		0	1.0	False	2.0	1.0		3.2		False	1.0	1.0	1.0
			acquisition-VNavNormVARIANTImageOrientation_datatype-anat_suffix-T2w	acquisition-VNavNorm_datatype-anat_suffix-T2w__2	acquisition-VNavNorm_datatype-anat_suffix-T2w	2	2	176	256	256	0.565		120	False	RAS+	912	anat		0	1.0	False	2.0	1.0		3.2		False	1.0	1.0	1.0
				datatype-anat_suffix-T1w__1	datatype-anat_suffix-T1w	1	343	176	256	256	0.00164		7	False	LAS+	343	anat		0	1.0	False	2.0	1.0		2.73		False	1.0000015497207642	1.0	1.0
				acquisition-HCPVARIANTEchoTime_datatype-anat_suffix-T2w__1	acquisition-HCPVARIANTEchoTime_datatype-anat_suffix-T2w	1	57	224	320	320	0.567		120	False	LAS+	76	anat		0	1.0	False	2.0	1.0		3.2		False	0.7999989986419678	0.800000011920929	0.800000011920929
				acquisition-HCPVARIANTEchoTime_datatype-anat_suffix-T2w__2	acquisition-HCPVARIANTEchoTime_datatype-anat_suffix-T2w	2	19	224	320	320	0.566		120	False	LAS+	76	anat		0	1.0	False	2.0	1.0		3.2		False	0.7999964356422424	0.800000011920929	0.800000011920929
				acquisition-HCPVARIANTEchoTimeDim1SizeDim3Size_datatype-anat_suffix-T2w__1	acquisition-HCPVARIANTEchoTimeDim1SizeDim3Size_datatype-anat_suffix-T2w	1	2	320	320	224	0.567		120	False	LAS+	2	anat		0	1.0	False	2.0	1.0		3.2		False	0.800000011920929	0.800000011920929	0.7999979853630066
				acquisition-HCPVARIANTVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T2w__1	acquisition-HCPVARIANTVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T2w	1	1	256	320	320	0.564		120	False	LAS+	2	anat		0	1.0	False	2.0	1.0		3.2		False	0.7000045776367188	0.75	0.75
				acquisition-HCPVARIANTVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T2w__2	acquisition-HCPVARIANTVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T2w	2	1	256	320	320	0.564		120	False	LAS+	2	anat		0	1.0	False	2.0	1.0		3.2		False	0.6999969482421875	0.800000011920929	0.800000011920929
				acquisition-HCPVARIANTDim1SizeDim3Size_datatype-anat_suffix-T1w__1	acquisition-HCPVARIANTDim1SizeDim3Size_datatype-anat_suffix-T1w	1	1	320	320	224	0.00315		8	False	LAS+	1	anat		0	1.0	False	2.0	1.0		2.5		False	0.800000011920929	0.800000011920929	0.7999990582466125
				acquisition-HCPVARIANTDim1Size_datatype-anat_suffix-T1w__1	acquisition-HCPVARIANTDim1Size_datatype-anat_suffix-T1w	1	1	131	320	320	0.00315		8	False	LAS+	1	anat		0	1.0	False	2.0	1.0		2.5		False	0.8000022172927856	0.800000011920929	0.800000011920929
				acquisition-HCPVARIANTEchoTimeDim1Size_datatype-anat_suffix-T2w__1	acquisition-HCPVARIANTEchoTimeDim1Size_datatype-anat_suffix-T2w	1	1	202	320	320	0.564		120	False	LAS+	1	anat		0	1.0	False	2.0	1.0		3.2		False	0.7999987006187439	0.800000011920929	0.800000011920929
				acquisition-HCPVARIANTVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w__1	acquisition-HCPVARIANTVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w	1	1	224	320	320	0.00318		8	False	LAS+	1	anat		0	1.0	False	2.0	1.0		2.5		False	0.7999979853630066	0.768750011920929	0.768750011920929
				acquisition-VNavNormVARIANTDim1Size_datatype-anat_suffix-T1w__1	acquisition-VNavNormVARIANTDim1Size_datatype-anat_suffix-T1w	1	1	114	256	256	0.0029		8	False	LAS+	1	anat		0	1.0	False	2.0	1.0		2.5		False	1.0	1.0	1.0
				acquisition-64dir_datatype-dwi_suffix-dwi__1	acquisition-64dir_datatype-dwi_suffix-dwi	1	912	104	104	72	0.1002	0.000389997	90	True	LAS+	2051	dwi	3.0	72	129.0	False	2.0	1.0	j-	3.32	0.0401697	False	1.798076868057251	1.798076868057251	1.7999999523162842
			acquisition-64dirVARIANTEffectiveEchoSpacingMultibandAccelerationFactorTotalReadoutTimeNSliceTimesObliquityVoxelSizeDim3_datatype-dwi_suffix-dwi	acquisition-64dir_datatype-dwi_suffix-dwi__2	acquisition-64dir_datatype-dwi_suffix-dwi	2	862	104	104	72	0.1002	0.000414993	90	True	LAS+	2051	dwi		0	129.0	True	2.0	1.0	j-	3.32	0.0427443	False	1.798076868057251	1.798076868057251	1.7999974489212036
			acquisition-64dirVARIANTEchoTimeEffectiveEchoSpacingParallelReductionFactorInPlanePartialFourierRepetitionTimeTotalReadoutTimeDim1SizeDim2SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi	acquisition-64dir_datatype-dwi_suffix-dwi__3	acquisition-64dir_datatype-dwi_suffix-dwi	3	269	96	96	72	0.0938	0.00071998	90	True	LAS+	2051	dwi	3.0	72	129.0	False		0.75	j-	4.5	0.0683981	False	2.0	2.0	2.0
			acquisition-64dirVARIANTNoFmap_datatype-dwi_suffix-dwi	acquisition-64dir_datatype-dwi_suffix-dwi__4	acquisition-64dir_datatype-dwi_suffix-dwi	4	8	104	104	72	0.1002	0.000389997	90	False	LAS+	2051	dwi	3.0	72	129.0	False	2.0	1.0	j-	3.32	0.0401697	False	1.798076868057251	1.798076868057251	1.7999999523162842
				acquisition-64dirVARIANTObliquity_datatype-dwi_suffix-dwi__1	acquisition-64dirVARIANTObliquity_datatype-dwi_suffix-dwi	1	35	104	104	72	0.1002	0.000389997	90	True	LAS+	57	dwi	3.0	72	129.0	True	2.0	1.0	j-	3.32	0.0401697	False	1.798076868057251	1.798076868057251	1.8000000715255737
				acquisition-64dirVARIANTObliquity_datatype-dwi_suffix-dwi__2	acquisition-64dirVARIANTObliquity_datatype-dwi_suffix-dwi	2	12	96	96	72	0.0938	0.00071998	90	True	LAS+	57	dwi	3.0	72	129.0	True		0.75	j-	4.5	0.0683981	False	2.0	2.0	2.0
				acquisition-64dirVARIANTObliquity_datatype-dwi_suffix-dwi__3	acquisition-64dirVARIANTObliquity_datatype-dwi_suffix-dwi	3	8	104	104	72	0.1002	0.000414993	90	True	LAS+	57	dwi		0	129.0	False	2.0	1.0	j-	3.32	0.0427443	False	1.798076868057251	1.798076868057251	1.7999954223632812
				acquisition-64dirVARIANTObliquity_datatype-dwi_suffix-dwi__4	acquisition-64dirVARIANTObliquity_datatype-dwi_suffix-dwi	4	2	104	104	72	0.1002	0.000389997	90	False	LAS+	57	dwi	3.0	72	129.0	True	2.0	1.0	j-	3.32	0.0401697	False	1.798076868057251	1.798076868057251	1.7999999523162842
				acquisition-ABCD64dir_datatype-dwi_suffix-dwi__1	acquisition-ABCD64dir_datatype-dwi_suffix-dwi	1	15	140	140	81	0.089	0.000669999	90	False	LAS+	15	dwi		0	129.0	False		0.75	j-	4.1	0.0931298	False	1.7142857313156128	1.7142857313156128	1.7000007629394531
				acquisition-64dirVARIANTNoFmap_datatype-dwi_suffix-dwi__1	acquisition-64dirVARIANTNoFmap_datatype-dwi_suffix-dwi	1	5	104	104	72	0.1002	0.000414993	90	False	LAS+	11	dwi		0	129.0	True	2.0	1.0	j-	3.32	0.0427443	False	1.798076868057251	1.798076868057251	1.8000015020370483
				acquisition-64dirVARIANTNoFmap_datatype-dwi_suffix-dwi__2	acquisition-64dirVARIANTNoFmap_datatype-dwi_suffix-dwi	2	4	104	104	72	0.1002	0.000389997	90	False	LAS+	11	dwi	3.0	72	129.0	False	2.0	1.0	j-	3.32	0.0401697	False	1.798076868057251	1.798076868057251	1.7999999523162842
				acquisition-64dirVARIANTNoFmap_datatype-dwi_suffix-dwi__3	acquisition-64dirVARIANTNoFmap_datatype-dwi_suffix-dwi	3	2	96	96	72	0.0938	0.00071998	90	False	LAS+	11	dwi	3.0	72	129.0	False		0.75	j-	4.5	0.0683981	False	2.0	2.0	2.0
				acquisition-64dirVARIANTEchoTimePhaseEncodingDirection_datatype-dwi_suffix-dwi__1	acquisition-64dirVARIANTEchoTimePhaseEncodingDirection_datatype-dwi_suffix-dwi	1	9	96	96	72	0.0946	0.000739978	90	True	LAS+	9	dwi	3.0	72	129.0	False		0.75	i	4.5	0.0702979	False	2.0	2.0	2.0
				acquisition-64dirVARIANTDim3SizeVoxelSizeDim3_datatype-dwi_suffix-dwi__1	acquisition-64dirVARIANTDim3SizeVoxelSizeDim3_datatype-dwi_suffix-dwi	1	3	104	104	60	0.1002	0.000389997	90	True	LAS+	4	dwi	3.0	60	129.0	False	2.0	1.0	j-	3.32	0.0401697	False	1.798076868057251	1.798076868057251	2.4000000953674316
				acquisition-64dirVARIANTDim3SizeVoxelSizeDim3_datatype-dwi_suffix-dwi__2	acquisition-64dirVARIANTDim3SizeVoxelSizeDim3_datatype-dwi_suffix-dwi	2	1	104	104	60	0.1002	0.000389997	90	False	LAS+	4	dwi	3.0	60	129.0	False	2.0	1.0	j-	3.32	0.0401697	False	1.798076868057251	1.798076868057251	2.3999998569488525
				acquisition-ABCD64dirVARIANTHasFmap_datatype-dwi_suffix-dwi__1	acquisition-ABCD64dirVARIANTHasFmap_datatype-dwi_suffix-dwi	1	1	140	140	81	0.089	0.000669999	90	False	LAS+	2	dwi		0	129.0	False		0.75	j-	4.1	0.0931298	False	1.7142857313156128	1.7142857313156128	1.7000007629394531
